t,CHN
3.710555556,43.9319
3.727777778,52.5018
3.745277778,46.4502
3.7625,68.2314
3.779722222,66.0691
3.796944444,39.0485
3.814166667,56.6691
3.831666667,43.8775
3.848888889,51.9072
3.866388889,46.7084
3.883611111,50.6883
3.900833333,19.3552
3.918055556,29.32
3.935277778,37.7562
3.9525,32.6346
3.97,33.9775
3.987222222,34.3363
4.004444444,18.297
4.021666667,23.8003
4.038888889,13.7184
4.056111111,24.2373
4.073611111,27.4814
4.090833333,33.6123
4.112222222,60.3874
4.129444444,59.0903
4.146666667,49.939
4.163888889,23.4076
4.181388889,60.1834
4.198611111,45.9837
4.215833333,44.8541
4.233055556,35.2248
4.250277778,62.0187
4.2675,39.5302
4.284722222,55.3047
4.302222222,40.5497
4.319444444,48.4488
4.336666667,35.7243
4.353888889,54.8124
4.371111111,38.904
4.388611111,59.9935
4.405833333,50.522
4.423055556,39.5369
4.440277778,50.5131
4.4575,47.6713
4.474722222,53.7922
4.491944444,50.2409
4.509444444,48.5508
4.526666667,53.1042
4.543888889,44.1786
4.561111111,57.9515
4.578333333,43.1551
4.595833333,53.6304
4.613055556,59.396
4.630277778,61.9883
4.6475,46.6729
4.664722222,41.8454
4.681944444,44.6852
4.699444444,26.3307
4.716666667,52.6948
4.733888889,41.2782
4.751111111,60.4956
4.768333333,55.0184
4.785555556,47.7433
4.803055556,36.6488
4.820277778,52.7461
4.8375,53.7161
4.854722222,36.3882
4.871944444,56.8842
4.889444444,29.8134
4.906666667,43.8139
4.923888889,47.623
4.941111111,44.8478
4.958333333,26.5703
4.975833333,48.6816
4.993055556,64.6761
